time,city,speed_kt,deg
2026-03-10 12:50:00,Tuban,4.6,272
2026-03-10 12:50:00,Pacitan,4.3,274
2026-03-10 12:50:00,Dhoho,6.5,184
2026-03-10 13:00:00,Juanda,0.4,77
2026-03-10 13:00:00,Perak,2.6,329
2026-03-10 13:00:00,Bawean,14.1,282
2026-03-10 13:00:00,Kalianget,5.7,292
2026-03-10 13:00:00,Banyuwangi,3.4,238
2026-03-10 13:00:00,KarangPloso,3.2,214
2026-03-10 13:00:00,Tretes,4.1,198
2026-03-10 13:00:00,KarangKates,1.0,268
2026-03-10 13:00:00,Sawahan,3.2,205
2026-03-10 13:00:00,Tuban,4.6,272
2026-03-10 13:00:00,Pacitan,4.3,274
2026-03-10 13:00:00,Dhoho,6.5,184
2026-03-10 13:10:00,Juanda,0.4,77
2026-03-10 13:10:00,Perak,2.6,329
2026-03-10 13:10:00,Bawean,14.1,282
2026-03-10 13:10:00,Kalianget,5.7,292
2026-03-10 13:10:00,Banyuwangi,3.4,238
2026-03-10 13:10:00,KarangPloso,3.2,214
2026-03-10 13:10:00,Tretes,4.1,198
2026-03-10 13:10:00,KarangKates,1.0,268
2026-03-10 13:10:00,Sawahan,3.2,205
2026-03-10 13:10:00,Tuban,4.6,272
2026-03-10 13:10:00,Pacitan,4.3,274
2026-03-10 13:10:00,Dhoho,6.5,184
2026-03-10 13:20:00,Juanda,0.4,77
2026-03-10 13:20:00,Perak,2.6,329
2026-03-10 13:20:00,Bawean,14.1,282
2026-03-10 13:20:00,Kalianget,5.7,292
2026-03-10 13:20:00,Banyuwangi,3.4,238
2026-03-10 13:20:00,KarangPloso,3.2,214
2026-03-10 13:20:00,Tretes,4.1,198
2026-03-10 13:20:00,KarangKates,1.0,268
2026-03-10 13:20:00,Sawahan,3.2,205
2026-03-10 13:20:00,Tuban,4.6,272
2026-03-10 13:20:00,Pacitan,4.3,274
2026-03-10 13:20:00,Dhoho,6.5,184
2026-03-10 13:30:00,Juanda,0.4,77
2026-03-10 13:30:00,Perak,1.7,318
2026-03-10 13:30:00,Bawean,14.3,279
2026-03-10 13:30:00,Kalianget,5.7,292
2026-03-10 13:30:00,Banyuwangi,3.2,246
2026-03-10 13:30:00,KarangPloso,3.8,215
2026-03-10 13:30:00,Tretes,4.8,209
2026-03-10 13:30:00,KarangKates,0.9,327
2026-03-10 13:30:00,Sawahan,3.4,213
